accuraten : ['bub_gb_MbxYAAAAcAAJ_0895.txt', 'line 70', 2]
accurrate : ['bub_gb_MbxYAAAAcAAJ_0173.txt', 'line 77', 1]
accurs : ['bub_gb_MbxYAAAAcAAJ_0103.txt', 'line 24', 1]
accurt : ['bub_gb_MbxYAAAAcAAJ_0123.txt', 'line 76', 1]
acdens : ['bub_gb_MbxYAAAAcAAJ_0681.txt', 'line 12', 1]
acella : ['bub_gb_MbxYAAAAcAAJ_0713.txt', 'line 43', 1]
acern : ['bub_gb_MbxYAAAAcAAJ_0142.txt', 'line 11', 1]
acetofa : ['bub_gb_MbxYAAAAcAAJ_0304.txt', 'line 8', 1]
achart : ['bub_gb_MbxYAAAAcAAJ_0514.txt', 'line 45', 4]
achbarinen : ['bub_gb_MbxYAAAAcAAJ_0602.txt', 'line 59', 1]
achdem : ['bub_gb_MbxYAAAAcAAJ_0071.txt', 'line 47', 8]
achdenkliche : ['bub_gb_MbxYAAAAcAAJ_0814.txt', 'line 33', 1]
acheilen : ['bub_gb_MbxYAAAAcAAJ_0237.txt', 'line 36', 1]
acheinander : ['bub_gb_MbxYAAAAcAAJ_0318.txt', 'line 2', 1]
acheten : ['bub_gb_MbxYAAAAcAAJ_0648.txt', 'line 59', 2]
achfen : ['bub_gb_MbxYAAAAcAAJ_0901.txt', 'line 8', 1]
achfolge : ['bub_gb_MbxYAAAAcAAJ_0630.txt', 'line 71', 1]
achfolgende : ['bub_gb_MbxYAAAAcAAJ_0299.txt', 'line 65', 1]
achfolger : ['bub_gb_MbxYAAAAcAAJ_0666.txt', 'line 4', 1]
achgeeilet : ['bub_gb_MbxYAAAAcAAJ_0233.txt', 'line 9', 1]
achgehends : ['bub_gb_MbxYAAAAcAAJ_0071.txt', 'line 49', 3]
achiopischen : ['bub_gb_MbxYAAAAcAAJ_0417.txt', 'line 21', 1]
achmals : ['bub_gb_MbxYAAAAcAAJ_0702.txt', 'line 7', 5]
achmittags : ['bub_gb_MbxYAAAAcAAJ_0765.txt', 'line 20', 1]
achricht : ['bub_gb_MbxYAAAAcAAJ_0265.txt', 'line 40', 2]
achsenen : ['bub_gb_MbxYAAAAcAAJ_0254.txt', 'line 9', 1]
achtba : ['bub_gb_MbxYAAAAcAAJ_0869.txt', 'line 111', 1]
