Processed bub_gb_MbxYAAAAcAAJ_0440.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0441.txt, with 72 errors
Processed bub_gb_MbxYAAAAcAAJ_0442.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0444.txt, with 68 errors
Processed bub_gb_MbxYAAAAcAAJ_0445.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0446.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0447.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0448.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0450.txt, with 41 errors
Processed bub_gb_MbxYAAAAcAAJ_0451.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0452.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0453.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0454.txt, with 0 errors
Processed bub_gb_MbxYAAAAcAAJ_0456.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0457.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0458.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0459.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0460.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0461.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0462.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0463.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0464.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0465.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0466.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0467.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0468.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0469.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0470.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0471.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0474.txt, with 41 errors
